album,artist,author,author_position,coverart,date,genre,link,record_label,review,review_abstract,score,year_release
We Have Sound,Tom Vek,by: Sam Ubl,,https://media.pitchfork.com/photos/5929a9a4ea9e61561daa5a8b/1:1/w_160/d8283c84.jpg,2005-07-28 06:00:02,Electronic,https://www.pitchfork.com/reviews/albums/8540-we-have-sound/,StarTimeTummy Touch,"Tom Vek must have been beaten by lead guitar lines as a kid-- he avoids them like a sore subject. And that's perfect, because it gives me something to talk about. He wants to call himself ""raw garage rock energy,"" go ahead. Nobody's exactly guarding the doors to the genre these days, but Mr. Vek managed to slip in without the one fuck-all must-have accessory. No, not a Blackberry-- I'm talking hammy riffs. Now, lead bass lines, there's another story. Matter fact, Mr. Vek is not averse to melody-- quite the contrary-- just the melodious thunks come from unexpected sources. Opener ""C-C (You Set the Fire in Me)"" (which is opposite how the titular chorus is actually delivered) locks the high school funk jammers in the garage and positions the four-track at or around the local gas station. Safely distanced, we catch tinny drums and wormy bass-- all we need, thanks. The bulk of We Have Sound's 10 tracks are as described. Mr. Vek stands interestingly aloof from his backing band (himself), sprinkling on yawning synth swells and, yawn, reverbed vocals. Some will hear the prominent rhythms and levy him with Gang of Four-ish comparisons, but I'm hearing more Hanson. Must be the locks. Actually, a song like ""I Ain't Saying My Goodbyes"" (single) would be a radio smash if a) Mr. Vek had a Blackberry, and b) he used it to contact Sony. Instead, he'll have to settle for heavy rotation on my iTunes playlist marked ""Radio"", next to Dangerdoom and ""Konichiwa Bitches"". And, ya know, bias aside, that ain't such a bad place for a 24-year-old London beau whose name isn't Kano. Remove the begging-to-be-DFA-remixed ""If You Want"" and the blatant Talking Heads rip ""Nothing But Green Lights"", Mr. Vek has himself a solid, solid record here. Of those two songs I just zinged, the latter one actually isn't bad. So-- droll sung/spoken vox, chirruping synth loop, mind-numbing repetition-- it carbon copies ""Once in a Lifetime"". Try writing a song that doesn't! I only wish that Mr. Vek, when he isn't plagiarizing or talking about cars (all the time), would ditch the blasé monotone and work his falsetto. When Venn diagraming standout ""I Ain't Saying Goodbyes"" and the déclassé ""Cover"", a simple neck crane seems, indeed, the missing ingredient. With a penchant for sloppy dance beats and an ear for sonic minutiae, Tom Vek unites skill sets as antipodal as Rapture and Elvrum. But considering one cannot legally, conscientiously or sincerely enjoy indie rock anymore, We Have Sound puts me in an awkward spot.","With a penchant for sloppy dance beats and an ear for sonic minutiae, Vek unites skill sets as antipodal as the Rapture and Phil Elvrum.
",7.6,
A Million in Prizes: The Anthology,Iggy Pop,by: Stephen M. Deusner,Contributor,https://media.pitchfork.com/photos/5929a0ed5e6ef9596932008c/1:1/w_160/04fdbd65.jpg,2005-07-28 06:00:01,Rock,https://www.pitchfork.com/reviews/albums/6410-a-million-in-prizes-the-anthology/,Virgin,"The title of Iggy Pop's second career retrospective seems to me as arbitrary as, say, That's Like Hypnotizin' Chickens or Of Course I've Had It in the Ear Before, albeit much less entertaining. And it's subtitled like we've been waiting for it for a long, long time-- which is true, but only to an extent. For the past nine years, Pop's career has been summarized only by the single-disk Nude & Rude: The Best of Iggy Pop, which tried to explain a complex artist in only 17 tracks. Even to an initiate, Nude & Rude had to seem only cursory-- a problem A Million in Prizes seeks to correct. It collects 38 tracks from nearly 40 years (!), including alternate takes, non-album tracks, and live cuts. It renders its predecessor immediately obsolete-- look for N&R; to flood your local used CD store-- and is probably as good a Pop retrospective as we're likely to get on two disks. Most collections like this give us an opportunity to reassess an artist's accomplishments and reconsider the shape and effect of their output. A Million in Prizes: The Anthology, however, seems just the opposite: several years of revisiting and reconsidering his past work have finally culminated in a retrospective anthology that might be the crest of a second wave that started with Trainspotting (did it really? or did it just seem to?) and has been building ever since. In the intervening decade, Pop has become a legend to the garage rock bands and punk nostalgics while remaining a guiding saint to throngs of disaffected adolescents (including the dropout who used to blare ""Lust for Life"" in the apartment above me all hours of the day and night). Todd Haynes made a movie about him, Jim Jarmusch made a movie with him, and we here at Pitchfork placed four Iggy-related albums on our Top 100 Albums of the 70s list. Murmured rumors and outright statements claim that Pop's the father of both punk and the garage-rock revival. While it's tempting to assign that extra meaning to his stage surname, influence does not necessary produce a positive paternity test. Pop is punk only in retrospect. Instead of defining a movement (that already had a leg up with MC5 and wouldn't hit full steam for several more years), the Stooges simply stripped 50s rock and roll down to its animal essence-- broken-glass blues riffs, steady backbeats, and punctuating hand claps-- then exaggerated its hedonistic appetites and self-destructive tendencies to brutish, nearly comic proportions on their first three albums, which are represented by 10 tracks on A Million in Prizes-- almost a fourth of the compilation. I can't really argue with that. The Stooges' distillation of rock is no small feat, but Pop wasn't a first amendment pioneer. A succession of 60s artists from Jim Morrison to Lou Reed had already cleared the way for Pop's anarchic aesthetic, but just as this lineage doesn't dull his music, neither does it dull his legacy. Instead, it points out his distinct accomplishment-- the performative aspect of his music. It wasn't the lyrics that made his songs dangerous, but Pop's yelping insistence, the depraved howls that punctuated his verses and hid a curiously smooth baritone. Just like his body, his voice was wiry and exposed and graceful, slithering and bleeding and peanut-buttery. The first disk of A Million in Prizes showcases this aspect of Pop's music, but the second disk has the unenviable task of summing up everything since, from New Values and Soldier to Beat Em Up and Skull Ring. Admittedly, there are some incredible moments: the live cut of ""TV Eye"" from the 1993 Feile Festival in Ireland suggests Pop hasn't lost as much edge on stage as he has in the studio. Two duets stand out: he and B-52 Kate Pierson are well matched on the wistful ""Candy"", and he and Debbie Harry have a goof with Cole Porter's ""Well, Did You Evah!"" from Red Hot + Blue. And even though it mercifully omits his collaboration with Peaches, the second disk can't possibly match the first for sheer raw power. Really, who could keep it up that long? But A Million in Prizes tells a story that's greater than the individual tracks themselves, one that elevates even the dimmest of material. Even so, there's something a little sad about seeing such a vital artist canonized like this. Greatest hits compilations are round holes into which pegs of every shape are fitted, and they tend to have a neutering effect, absorbing rebel music into the very system it once railed against. Even though A Million in Prizes accomplishes exactly what it set out to do, it's difficult to get excited about this collection, especially with upcoming reissues of The Stooges and Fun House to look forward to.","Two-disc, career-spanning compilation includes the best from Iggy's solo and Stooges career, and some of his recent material, too.
",7.9,
Pro Agonist,Exile,by: Jess Harvell,Contributor,https://media.pitchfork.com/photos/5929bd0cea9e61561daa7612/1:1/w_160/51ae9fa7.gif,2005-07-27 06:00:05,Folk/Country,https://www.pitchfork.com/reviews/albums/2931-pro-agonist/,Planet µ,"Though you wouldn't know it to listen to bulk of Pro Agonist, Exile is a junglist. He has releases on some of the genre's biggest and most seminal labels, including Moving Shadow, Renegade Hardware, and John B's Beta. He is as comfortable with rigid electro-steppers as breakneck break splicing and drooling drumfunk. The first track, ""Silicon Chop"", is a collaboration between Exile and Sub Focus, currently the king of peak-time super-rave drum & bass via his releases on Ram like ""X-Ray"". But, as with many English techheads who prefer the bucolic splendor of the Midlands, he's also something of a rotter. Pro Agonist, for example, is on Mike ""U-Ziq"" Paradinas' Planet Mu label. Despite being home to the collected works of jungle god Remarc, the label's concept of jungle owes much to the Squarepusher tempo tantrum school. And though his tunes often do feature a traditional junglist structure-- intro/drop/breakdown/drop/outro-- Exile can't resist corroding that framework with digital abuse. The aforementioned ""Silicon Chop"" and ""Open Mike"" imagine a tentative bridgehead between big-room drum & bass and the micro-intensities of the Inperspective Records choppage scene. ""Silicon Chop"" takes a fat, cheesy synth hook aimed straight at the teenage raver as the eye of its hurricane of metallic, scuttling bongos, phased snares, and ants-in-your-pants drum bits. ""The Forever Endeavor"" stomps like gabba, shoots random bursts of breaks into the air, and gouges you with cattle prod synth surges. ""Sure You Did"" samples a few of his pals' incredulity at his own fucked up beats in true Aphexian fashion. And that's where things take a bit of a wrong turn. ""Mushroom Santa"" features an excessively twee ""childlike"" melody married to shrill, chipper drill & bass beats that even the biggest spunk jazz apologist would have to call a joke. (And even if it is, I still ended up skipping it from the second play on.) ""Spring Cum Air"" is slightly better with its Selected Ambient Works II atmosphere and flurries of computer pings and plucks, as if Derek Bailey suddenly took up a iBook. His remix of John B's ""Broken Language"" sounds like eight different drum & bass tunes sutured messily together on the fly with a pocket knife and some cinnamon dental floss. ""The Devil's Chimney""-- with creepy ""the devil is in exile"" sample followed by an avalanche of EQ'd-to-fuck ""Amen"" snares and gothic rave stabs-- is straight forward enough for one of the more brutalist neo-techstep labels. It makes me sound like an old disco grouch to prefer this to the more ""my jazz is useless"" pervert-o glitch like ""Rage Is The Beautiful Light That Struck Her"". (Oy, those titles.) I guess I had been hoping for more tunes like ""Silicon Chop"" and his excellent 2005 single ""Cut By Plastic"". Records that sprouted unsightly moles and hair in odd places but were still recognizably drum & bass. Instead I got that plus a side of ProTools fuzz and kooky samples about chiming penises. If that's more your thing, you can look at is as getting a side of a few really forward-thinking dance tunes. And then wash that beard.","Junglist takes a course at the Squarepusher tempo tantrum school.
",6.9,
No Business,Negativland,by: Brian Howe,Contributor,https://media.pitchfork.com/photos/5929c3c213d197565213bddb/1:1/w_160/3e5b1e99.gif,2005-07-27 06:00:04,Experimental,https://www.pitchfork.com/reviews/albums/5740-no-business/,Mordam,"The latest from audio collagists Negativland employs three rhetorical strategies to examine the nature of fair use in an age when corporate media outlets are fighting battles on the grassroots, unregulated frontier of the internet. How copyright law affects artists and consumers is a topic on which Negativland is well-qualified to hold forth, having spent their career pushing against the boundaries of fair use to demonstrate how it impedes artistic progress and serves record companies more than the artists it avers to protect. The first angle is an essay called ""Two Relationships to a Cultural Public Domain"". Even though it's fairly even-handed, it is essentially polemical in nature, lucidly outlining the cultural developments and opposing points of view that will be more obliquely addressed on the CD. The crux is that the internet has galvanized a drastic ideological polarization as to what constitutes the public domain. The mainstream record industry's position is a throwback to when cultural product was replicated via physical means, which spawned material artifacts of limited supply and calculable monetary value. The opposing position stems from the prominence of digital media, which eliminates the need for costly physical production and places the power of reproduction and dissemination in the hands of anyone with a computer. It states that the internet is public domain, a concept that's anathema to free market capitalism. You can easily guess which side of the debate Negativland takes up. The essay goes on to outline the history and cultural ramifications of copyright law, from its stifling of ""folk art"" (since folk art is a communal, viral process more concerned with transmission of heritage than singularity) and collage-based art, to the flaws inherent in the record industry's m.o. that make this potentially beneficial development a threat to its sustainability. The essay closes with a clarion call for an expanded, more sensible definition of fair use, one that protects original works from being plagiarized outright and assures that their creators are compensated for them, while decriminalizing derivative works of satire and reinterpretation, thus no longer impeding what has become our era's most vibrant art \xD0 the art of appropriation and collage. As opposed to the didactic nature of the booklet, the audio portion of No Business tends more toward arch satire of the ongoing debate over fair use in digital media, creating a précis of its contradictions and ideological schisms rather than advancing a particular thesis. Some pieces simply intend to display the artistic possibilities inherent in collage, and are more humorous than pedagogical: The title track recasts Ethel Merman's ""There's No Business Like Show Business"" as a tirade against entertainment-industry iniquity instead of a giddy celebration of it, and ""Favorite Things"" rearranges the Julie Andrews classic into an appreciation of the grotesque: ""Wild brown girls tied up in warm strings/ Wild wild white girls that melt into nose cream/ These are a few of my favorite things."" Other pieces delight in the absurd, like ""Piece a Pie"", a mid-century radio drama chopped up into some sort of hellish recursive time loop, like Groundhog Day in a diner. But the album's centerpiece must be ""Downloading"", a long and ominously weighted mash-up of anti-filesharing speeches, Disney's The Little Mermaid (""It won't cost much/ Just your voice!""), and other wildly disparate sources, which seems to intend to limn the urgency and complexity of the debate over filesharing more than to stake out a specific ideological position. The third stage in this three-pronged statement is a whoopee cushion emblazoned with that infamous and iconic ""\xA9"", and perhaps it's this portion of No Business that states Negativland's stance on the issue most clearly: ""THBBBBBBBBBT!""","CD and essay examines the nature of fair use in the internet age.
",7.5,
Geisterfaust,Bohren & Der Club of Gore,by: Brandon Stosuy,Contributor,https://media.pitchfork.com/photos/5929a491b1335d7bf16989c7/1:1/w_160/6d7f99f6.jpg,2005-07-27 06:00:03,Jazz,https://www.pitchfork.com/reviews/albums/1170-geisterfaust/,Wonder,"If you enjoy it slow and low, Cologne-based Bohren & Der Club Of Gore will very likely do the trick. In fact, with each subsequent release the quintet's ""horror-jazz"" grows increasingly refined (i.e. incredibly fucking spare). And hey, they've been at it awhile: Thorsten Benning, Morten Gass, Reiner Henseleit (who left the band in 1996 and was replaced a year later by the ivory-tickling saxophonist Christoph Clöser) and Robin Rodenberg began playing together in 1988, mining a metallic hardcore sound. Subsequently, as Bohren, they released Gore Motel in 1994, followed by the 2xCD Midnight Radio (1995), Sunset Mission (2000), and Black Earth (2002; reissued on Ipecac in 2004). Bohren's forth studio album, Geisterfaust, is translated from the German as ""Ghost Fist,"" but the five extended pieces feel more like ghostly tip-toes. Admittedly, though, each track's titled with a finger theme, so I suppose my idea wouldn't work. Besides, there's a fistful of heaviness breathing within the airy wraps of bass (kontra, fretless, 8-string), tuba, and bass trombone and the exceedingly spacious Fender Rhodes, sax, and brushed drums. Bohren are often dubbed horror-jazz, though this hardly defines the sound. Consider, maybe, the recent crop of jazz-oriented Rune Grammofon released by Nils Okland and In The Country (featuring Morten Qvenild of the hyperactive Shining) or even something as downcast as non-jazz labelmates Deathprod, then remove 1/2 of the notes and replace any and all folksiness and/or Blue Note overtones with foreboding minimalist dirge and a Sunn 0))) or Khanate streak. Now, mix in some John Cage, because Geisterfaust showcases Bohren as masters of silence, using space and shadows rather than volume increases or additional sounds to create (and maintain) dynamics. The tracks here are all relatively long, but the most expansive in all senses is the grandiloquent 20-minute opener, ""Zeigefinger"" (""Index Finger""), wherein they lug in a tuba and a nine-person choir. The track plods into the starting gate. Pauses continue to grow. Tones sustain miraculously. Voices rise in the background like traces of frozen powder. The drums increase in heaviness, but never break out. It's an appropriate way to start the LP-- you'd be hard-pressed to locate a single riff or roll on the entire album. The three of the remaining pieces-- ""Daumen"" (""Thumb""), ""Ringfinger"", and ""Mittelfinger""-- fall into a similar line, with varying degrees of percussion and bass, and more or less pronounced vibraphone (""Ringfinger,"" for instance, just about establishes a mallet hook). The final composition, ""Kleinerfinger"" (""Pinky"") comes closest to the sound of past releases, a more crumbling ""Twin Peaks"" soundtrack on Codeine (band, not drug). But ""Kleinerfinger"" lacks that ineffible heavy feel (background built on octave-downed bass?). It features a steady high-hat and snare rattles like a slow motion whirlpool; there are also beautiful electric piano accents and a smoky saxophone. The most upbeat of the pieces (which isn't saying too much) as well as the most straightforward jazz, it's also the least interesting. Bohren & Der Club Of Gore have been championed regularly (and fervently) by the fine folks at Aquarius Records in San Francisco, and they'd appeal to listeners of black metal as well as drone (Stephen O'Malley gives them props on his website). But for all of that gloom/doom, I could also see them appealing to fans of minimalist ambience and spare electronics, as well those who enjoy adventurous ""out"" jazz. But regardless of your genre identification, you'd do best to turn this up, concentrate, and let it work its way into your head.","Cologne-based quintet recall the recent crop of jazz-oriented Rune Grammofon releases.
",7.6,
"Memory Column: Early Works & Rarities, MCMXCVI-MMIV",Mahogany,by: Joe Tangari,Contributor,https://media.pitchfork.com/photos/5929c37169fc7814a47cd64e/1:1/w_160/c39c9786.jpg,2005-07-27 06:00:02,Pop/R&B,https://www.pitchfork.com/reviews/albums/5047-memory-column-early-works-rarities-mcmxcvi-mmiv/,Darla,"My first experience with Mahogany occurred in a loft in Boston's Chinatown. The space was used mainly for showings of independent short films and the band played on the floor with projections behind them, filling the room with their dense, rippling waves of what they refer to as ""massed guitar, violoncelli, voice & electronics."" The moment I remember best was when the band built a monumental drone around a single chord while an image of white metal beams slowly shifted behind them. As the image moved, the texture of the drones shifted, and finally it became clear that the footage was shot on a Ferris wheel, with the camera initially aimed at the direct center of the wheel to create an almost abstract visual. It was an audio-visual feast, to say the least. On record, Mahogany aren't exactly prolific, having released just one full-length in nearly 10 years as a band, but they've turned out a couple more albums' worth of scattered tracks on EPs, split 7""'s, and compilations in that time, which is the stuff Memory Column focuses on over the course of its two discs. Disc One is subtitled ""Song Cycle No. 1 for Rural Michigan"", and the implication is that its 10 songs, recorded from 1996 to 1999, were intended to form a unified body of work, a promise that actually bears itself out pretty well. Disc Two, subtitled ""Song Cycle No. 2 for Detroit & New York"", gathers music from 1999 to 2004 and covers the period during which they relocated from the Motor City to NYC. Generally speaking, these arrangements are more intricate and varied than those on the first disc. Mahogany's music falls broadly into the part of the dream-pop spectrum that emphasizes the dream over the pop, placing them in a similar space with Surface of Ecion, Landing, and Auburn Lull, with whom Mahogany's most-tenured member, Andrew Prinz, has played. Song titles like ""The Singing Arc-Lamp"" do almost as much to explain the sound of the music as I could in 150 words. By the middle of Disc Two, though, the sound begins to branch out, with ""Semaphore Streamlines"" and ""Bunker Soldiers"" embracing a more post-punk sensibility, the latter mixing melodica with bobbing synth and an odd, chanting vocal arrangement that breaks away from the band's more typical wispy harmonies and solo vocals. Those wispy vocals do sound good, though, set in amongst guitars that go on for miles. They give the music's ephemeral arrangements interesting rhythms to play off of, too, laying on a thick, shimmering drone over a delay-drenched ponging noise on ""Amelia No. 2"". A lot of bands playing in this territory have songs that are basically interchangeable, but Mahogany don't fall into that trap-- even their earliest music takes care to introduce counter-melodies and allow the rhythm section (which is sometimes a machine) time to make its own statement. Having all of this music, originally scattered over a collectors' nightmare of rare and hard to find discs, in one place is nice enough from a completist standpoint, but what's more impressive about Memory Column is that it illustrates a band's evolution while also presenting two very cohesive discs that each make a strong statement as suites. People who are into dream pop and classic UK shoegazer rock need to give this band a listen, as they're among the best bands currently doing this stuff, and if Memory Column is any indication, hearing their continued evolution will be a pleasure.","Double-disc collection of EP, 7"", and compilation tracks from the dream pop band, all of which were recorded between 1996 and 2004.
",7.8,
The Fire in Our Throats Will Beckon the Thaw,Pelican,by: Brandon Stosuy,Contributor,https://media.pitchfork.com/photos/5929a1a0ea9e61561daa4849/1:1/w_160/8be2a3cd.jpg,2005-07-27 06:00:01,Metal,https://www.pitchfork.com/reviews/albums/6581-the-fire-in-our-throats-will-beckon-the-thaw/,Hydra Head,"When not outright dismissive, reviews of instrumental rock (a/k/a ""instru-metal"") tend toward the hyperbolic. Maybe the stab at heightened language highlights an attempt to pad the lacking libretto; or perhaps without voices covering-up aspects of the instrumentation, we subconsciously connect the work to pure nonhuman landscapes like towering mountains and multilayered constellations, et al. Whatever the case, the guys of Pelican don't need fancy prose because the Chicago quartet aims for such oxygen-free highs that any over-the-top words I scribble are more or less a reenactment of what they've put to tape. ""Epic"" is the single most overused word in the context of notey crews like Don Caballero (or Battles), Red Sparowes, and Isis: It finds its way into discussion out of habit, but it's hard to prove via any visible calculations what's truly deserving of the descriptor and what's just fucking long. On their sophomore full-length, Pelican certainly know how to go for broke and then continue going and going and going. But are they really worthy of being linked to the Odyssey? Three of the seven tracks here last for more than 10 minutes, one's just under 10, and the other three each tread at around five. In many cases, Pelican enjamb enough dynamic shifts into the compositions to keep things interesting, or at least varied, but I'm still searching for a final explosion. A plus: Unlike many instrumentalists, Pelican don't affix over-long stage-direction-style titles to their compositions. Besides the dorky album title (wait-- you guys never speak, so we're gonna freeze forever? is that the hook?), they let their music do the talking. Song-by-song there's a tendency toward seasonal shifts and the sky: ""Last Day of Winter"", ""Autumn Into Summer"", ""Aurora Borealis"", and ""Sirius"". And while the songs don't necessarily sound like their tags, they at least plant a generality in the listener's head. Those are the structures. It's more difficult explaining exactly what it actually sounds like. For starters, despite critical fixations to the contrary, Fire... isn't very metal. The heavier/murkier debut, Australasia, was certainly within that realm and fit the critical shorthand, but here the production's ultra clean (sorta pristine), the atmosphere's airy (check out those acoustic transitions), and the songs delve into poppier areas than anything they've done in the past. Maybe it's safer to evoke Oren Ambarchi jamming with Trans Am. Coming up with proper genre identification's difficult, but diagramming the specific's of each song's even rougher (cataloguing the twists and turns of each track requires college-level geometry). To speak in the vaguest terms, their attack falls into two over-arching camps: They either riff through those aforementioned ""epics"" or drop-off more incidental sounding shortish pieces. The strongest marathon, ""March Into the Sea"", just under 12 minutes long, is the most ""metal."" There's nimble double bass drum and an interestingly treated cymbal crash. It's less atmospheric than some of the others. The first thought in my head, ""Spacious Fucking Champs."" Late in the track there's a sort of break down into pretty, jangling arpeggios. You know how Slash would always play his solos in the middle of the desert or something during those Guns-n-Roses videos? Well, ""March Into the Sea"" deserves to be unleashed in such extreme conditions. On the other hand, ""Red Ran Amber"", which begins promisingly with patented Unwound-style feedback, wanders into a whirlpool at some point and forgets to re-emerge. Amongst the briefer bits (spaghetti western, underwater surf music), the best (and most surprising) is the untitled fourth piece, a pile of moody acoustic Gypsy strumming with shaker percussion. Here, the instruments feel like they've been lassoed into closer quarters. Queensryche fans might cry ""Silent Lucidity"", but the rest of us will note that toward the end things crackle for a moment and then fingers on strings make discordant noises briefly. If you didn't know better, this might be Espers or Ben Chasny doing the backstroke through tiny wafts of radio fuzz. By and large, Pelican keep things moving. Still, at certain moments my attention wandered and I couldn't help but wonder who would be their ideal singer if they held their own ""Rock Star: INXS"" reality show. Truth is, the attack plateaus here/there, and just then it'd be excellent to introduce a screamer or sigher to push the elements toward that final Wagnarian movement that finds our aching, B-12 deficient hero climbing a mountain to embrase his (or her) too-lost love. My votes: The guys from Mineral and St. Vitus (as a team), King Diamond (solo), the woman in Evanescence, or the father from ""The Sound of Music"". Vocal-free, they never quite pull off that snow-capped climax.","Second album from Chicago's premier instrumetal band.
",7.0,
Once We Were Diamonds EP,Diamond Nights,by: Adam Moerder,,https://media.pitchfork.com/photos/5929bbbaeb335119a49ecae2/1:1/w_160/997f117c.jpg,2005-07-26 06:00:05,Rock,https://www.pitchfork.com/reviews/albums/2619-once-we-were-diamonds-ep/,Kemado,"Brooklyn throwback rockers Diamond Nights are the latest cyclical rockers, hoping to woo girls who won't realize their moms were fawning to virtually the same band 25 years ago during REO Speedwagon shows. After the Darkness pecked away at metal-phobic listeners' prejudices, the subsequent carbon-copying of the Cure and Duran Duran decimated listeners' retro barriers, allowing anything sounding dustier than Dad's record collection to seep in. If right now the Killers are trashing Ritz-Carlton suites and spilling Port on their suit jackets, retro-cousins Diamond Nights at least must be leaving candy wrappers on the floor at Best Western. Four of this EP's five offerings are pure frat party filth, cashing in on the reemergence of ""Jessie's Girl"" and ""867-5309/Jenny"" (did they ever go away?) on kegger playlists. ""Dirty Thief"" swipes the chords to ""Just What I Needed"" but forgets the hooks to match, leaving us with an unremarkable tale of heartbreak and rote soloing. ""Saturday Fantastic"" offers much of the same as the band pulls out its beefiest power chords and testosterone-soaked vocals. Amazing to think four years ago these guys would be tarred and feathered by both underground and mainstream critics, no? Before totally denouncing them completely, check opener ""Destination Diamonds"". It's not exactly pushing the envelope, but it's also not jumping up and down screaming ""pick me!"" like so many outlandish revivalists. Frontman Morgan Phalen borrows the verse melody to ""Blinded By the Light"", but fluffy guitar riffs and disarming falsetto puts the diffident, vulnerable spin on arena rock that the Foo Fighters and Queens of the Stone Age so often miss. Unfortunately those slight gains are nullified by Diamond Nights' most vile error-- inexplicably feeling the need to prove they can use synthesizers. ""The Girl's Attractive"" reeks of lechery and tackiness, and the camp is residual on the fist-pumping faux-Rocky montage ""Buddies"". No one's being narrow-minded here, you simply can't just ape your parents' music, pass Go and collect your 200 bucks anymore (OK, I guess you get the money sometimes). Once We Were Diamonds unabashedly sports a caveat emptor, but that's exactly what drunk kids want to pay for when they stumble into Wal-Mart at 2 a.m. anyways, right?","Buzzsaw guitars and 70s arena-pop stylings from Kemado.
",4.9,
Kiss the Future,Mark Stewart,by: Matthew Murphy,Contributor,https://media.pitchfork.com/photos/5929a6b5b1335d7bf1698eba/1:1/w_160/3a32142a.jpg,2005-07-26 06:00:04,Electronic,https://www.pitchfork.com/reviews/albums/7822-kiss-the-future/,Soul Jazz,"Since his work as the frontman of the seminal UK post-punk combo the Pop Group, the fascinating, enigmatic Mark Stewart has seldom moved in a straight line, but rather has seemed to ripple in a series of concentric circles, with each successive ring expanding to absorb an ever-wider array of styles and sub-genres. As a solo act and with his bevy of talented collaborators, Stewart's sound has encompassed fractured strains of punk, funk, avant dub, free jazz, and dancehall, and has always been infused with his distinctive rabble-rousing politics and an ear uncannily pitched to the perpetual reinventions of street culture. Throughout Stewart's career, he's remained a prescient figure, but his restless, thorny innovations have also likely contributed to the erratic nature of his discography. His recent history is pockmarked by extended stretches of inactivity, and many of his key titles-- including both of the Pop Group's proper studio albums-- are currently out of print in the U.S. So it's surely with this unruly back catalog in mind that Soul Jazz presents Kiss the Future, a concise retrospective that features tasters from nearly every portion of Stewart's career, including several new or previously unreleased tracks. Containing a mere 12 songs, Kiss the Future is more of a strategic strike than a comprehensive introduction, as it represents whole periods of Stewart's career with only a track or two, and ignores some of his albums entirely. And though the set provides a tantalizing, remarkably unified glimpse at some of Stewart's most pioneering work, the collection feels so closely edited that one can't escape the notion that too many choice selections were left abandoned on the cutting room floor. At their hot-wired best, the Pop Group delivered their experimental, roots reggae-inflected polemics with a barbed ferocity unmatched by few peers this side of the Birthday Party. Kiss the Future includes three vintage 1979 Pop Group blasts (""We Are All Prostitutes"", ""She Is Beyond Good and Evil"", ""We Are Time"") that tidily anticipate the moves of contemporary post-punk revivalists from Liars to the Ponys. As with all of this collection's best material, these tracks appear to have aged not a day, which is accentuated by the album's non-chronological running order which places them immediately alongside new cuts like ""Radio Freedom"", Stewart's recent grimy, dubbed-out collaboration with Kevin ""The Bug"" Martin. Other highlights include several pieces by Stewart's excellent post-Pop Group outfit the Maffia, which showcased the original Sugerhill Gang rhythm section of guitarist Skip McDonald, bassist Doug Wimbish, and drummer Keith LeBlanc. On tracks like ""High Ideals and Crazy Dreams"" or ""Hypnotized"" (presented in its 12"" version) the Maffia expel grainy, industrial smears of noise-funk, carrying the type of rugged sonic scars typically associated with a beloved, over-duped cassette tape. Best of all might be ""Jerusalem"", an expressionist, cut-up take on William Blake's traditional tune that features a spectral brass band periodically marching through in a narcotic haze. Like the bulk of Kiss the Future, it's a track that somehow manages to sound simultaneously familiar yet revolutionary (not bad for a nearly 25-year-old recording) and serves to powerfully whet the appetite for the hopefully not-too-distant future when more of Stewart's keenly far-seeing works are once again easier to come by.","Twelve-song Soul Jazz comp traverses the rich career of the former Pop Group singer.
",7.5,
Fraximal,Ferenc,by: Nick Sylvester,Contributor,https://media.pitchfork.com/photos/5929beb713d197565213b7a1/1:1/w_160/706615f8.jpeg,2005-07-26 06:00:03,,https://www.pitchfork.com/reviews/albums/3342-fraximal/,Kompakt,"Hey techno and house dudes, learn to make a fucking album already. I like to bang but so does the bus; drop the snacks and dine me. Vitalic did it; Isolée did it sort of; I like that Schaffhaüser disc nobody talks about too; the boring middle section of the Juan MacLean record's brilliant; Daft Punk tried and failed unadmirably. Maybe albums are aren't your format or whatever-- bullshit. Catch-22 maybe? Am I that much of a bastard? Of course, but Fraximal's plight is understandable. Kompakt's last few artist LPs have had trouble with mid-disc drag and some severe anxiety of influence, i.e. sounding too Kompakt, whatever that means. So we get albums with two or three good tracks and the rest personality- or statement-aspirant duds. Superpitcher, Mayer, Justus-- yeah, you guys, nice try, but what the fuck. So here I am both relieved that Ferenc just made a solid, gimmickless 10-track techno album that just wants to be solid and gimmickless and 10-track, and utterly disappointed that it's merely that. I had the same problem with Allien's newie; Ferenc make better tracks though. Presenting: ""Diplodocus"", which shuffles 2k2 through an ambient X-Filed slush, the fieber kept asteer by bright railroad spike clicks and, if you listen closely enough, an actual melody. That the track starts off the whole album strikes me as defiant and anti-trendy-- this ain't no party, this ain't no disco-- and the next tracks have their own back-to-mine moments too: the raven strings of ""Sandia"", the sub-bass predilection of ""Neng""; the labby tabby rolls of closer ""Acidorro"". If the duo didn't have a history of trendfucked hardcore-can, I wonder whether I'd take Fraximal for the dusty-futuro Nebuchadnezzar mothership it is, or just dusty and a little out of step, like a Matrix reference. The balance tips back and forth most during that middle run from ""Bocaseca 1:0"" to ""France""-- through all is that warp-speed Basic Channel vibe I might have expected out of artists with a more fascist This Is The Real Shit agenda. Ferenc though are just two dudes stuck with a full-length deal, not one for five 12s; their music seems too good-hearted anyway and too merely good for a point, let alone world domination.","Solid, gimmickless techno from the Kompakt duo.
",7.6,
