album,artist,author,author_position,coverart,date,genre,link,record_label,review,review_abstract,score,year_release
"Everyone Is Crying Out to Me, Beware",Alina Simone,by: Joshua Klein,,https://media.pitchfork.com/photos/5929bbf813d197565213b1eb/1:1/w_160/3a566ac8.jpg,2008-07-23 06:00:05,Folk/Country,https://www.pitchfork.com/reviews/albums/11996-everyone-is-crying-out-to-me-beware/,54º40' or Fight!,"Yanka Dyagileva was a Russian poet and punk/folk hero whose work circulated throughout the country's counterculture underground. They were sometimes shoddy recordings making the rounds on often equally shoddy cassettes (the clandestine duplication/distribution process has been called ""magnitizdat,"" the audio equivalent of samizdat) whose modest packaging couldn't disguise the revolutionary sounds therein. Yanka's first album was titled Ne Polozheno, or ""Not Allowed"", which makes an emphatic point. She remained reasonably public, earning comparisons to Patti Smith, until 1991, when she went out for a walk one spring day, never to return. When her body was later recovered from a river the death was ruled a suicide (she was known to suffer from depression). She was just 24, and had left behind a legacy of just 29 original songs. At least Yanka lived to see the fall of the Soviet Union, and if her premature death ended a career rich with potential, what she did record clearly continues to resonate. For proof one need look no further than Ukrainian born but American raised singer Alina Simone, whose recent Everyone is Crying Out to Me, Beware pays tribute to the late Russian singer. In some sense the release also works as conduit. Yanka's music never got wide distribution, and, sung entirely in Russian, the meaning of her songs (if not the emotions) won't necessarily reach non-Russian speakers. Alina Simone does stick to Russian when singing Yanka, but at the same time she's made it easier for curious outsiders to enter Yanka's world. At the very least, Yanka's spare, rough-hewn songs are fleshed out with the evocative addition of trumpet, strings, slide guitar, and other favorable chamber embellishments. Since the songs are sung in Russian, what's left to go by is a) Simone's haunted channeling of Yanka's anguish and b) the song titles, which occasionally provide some useful mood-setting context. ""My Sadness is Luminous"", for example, perfectly encapsulates the part hopeful, part heartbroken track, which runs less than two minutes and features strings, quiet drums, and minimal acoustic guitar, plus Simone's wistful, sometimes whispered vocals. One might similarly project a yearning for escape onto a song titled ""Flocks are Flying"", especially as performed here. ""Special Reason"" and ""Sold"" (from Yanka's 1989 album of the same name, Prodano!) do indeed recall prime Patti Smith, and could have easily been amplified into something a little less austere than the renditions here. If the universality of raw emotion transcends any language barrier, at least Simone does provide one translation, for the song ""Beware"", which could pass for one of PJ Harvey's 4-track demos. It's chilling enough in Russian, but the printed lyrics paint a more explicit portrait of a particularly troubled soul surely shaped by an oppressive life spent in Soviet Siberia: ""I will have to swap the ritual
That I am sick and tired of
For a deadly missile
The squeaky chair at the table
For a child's scream around the corner
The wreath of tangles roses
For a depressive psychosis
The psychedelic paradise
For three bolts for the shack Everyone is crying out to me, Beware"" Simone herself has a leg up on most of her listeners, since she understands the literal significance of the lyrics, but it's to her credit that sung in Russian or not, she manages to convey their meanings quite clearly all the same.","Ukrainian-born, Brooklyn-based singer Alina Simone pays tribute to the late Russian folk-punk poet Yanka Dyagileva, with haunting results.
",7.4,
Cherry,Shit and Shine,by: Jason Crock,,https://media.pitchfork.com/photos/5929bbfdc0084474cd0c29a9/1:1/w_160/83ac4771.jpeg,2008-07-23 06:00:04,Experimental,https://www.pitchfork.com/reviews/albums/11999-cherry/,Riot Season,"Shit and Shine are a collective out of England and Texas, though it's hard to say from Cherry where any one member contributes, or even where the sound manipulation stops and the band begins. The record's vocals are often sampled from unknown sources, and only by the fifth track can you hear anything that sounds like a member of the band-- though it should be mentioned, even here it's a distorted, unintelligible howling that sounds like a demon's confession. The concert on the DVD included with the CD edition shows a communal live show, four or five drummers on the same beat, four people crowded around one table filled with keyboards and programmers. Most of these songs loop brief snippets of sound, only for the band to let it run for a minute before laying a queasier texture on top. The record's diversity and cut-and-paste nature make Cherry sound like a forgotten tape collection, dusty and suffering water damage, getting ripped, gutted, and made into a skulking cassette-tape mummy. We hear what sounds like chanting children trapped in a reverb cavern segueing into drums that sound stolen from Gary Glitter with a vintage radio voiceover that may as well be reciting a Hubert Selby novel. ""Honestly Don't"" takes bargain-basement metal riffery from the early 1980s and loops and stretches it until it ceases to make sense, while you could tell me ""Charm and Counter Charm"" was ""Erotic City"" played backwards and I'd probably believe you; its vulgar drum machine hiccups are turned into gobbling video game villains, and the whole track becomes impish and sinister. Some tracks are subtly subversive, like the repetitive watery guitar tones and stiff, ominous drumming that dominate ""Flower Petal Sword"" or ""Prize Winning"", while strange vocal effects like the cooing alien noise of the latter handily provide listeners with the creeps. Diverse as the album is, there's still some straight-up scare-your-parents noise, be it the ugly distorted barks of ""If You Knew Susie"", the yawning sludge of the title track, or the popping fireworks-like squeals that turn to screams from the static-laden in-between-station zones of the radio dial. While closing tracks ""High Brooms"" and ""The Rabbit Song"" are allowed the space to breath and drift to more natural conclusions, many tracks on Cherry end abruptly, given either just enough time or a little less to develop. The transitions are sudden and split the difference between thrilling and clumsy, as if they were edited while blindfolded. These abrupt jump-cut edits don't always serve the individual track, but they give the record as a whole its own energy and peculiar logic. The execution isn't perfect on every track, certainly, but Cherry is a great example of a record becoming more than the sum of its parts. Instead of treating the palette of noise-rock as nothing but different shades of confrontational or disorienting, they look at it as having limitless boundaries-- and Shit and Shine actually have the ideas to take advantage of it.","Trans-Atlantic collective combines psychedelia, tribal drumming, and strange vocal effects into a heady noise-rock brew. A concert DVD is included.
",7.2,
Green Rocky Road,Karen Dalton,by: Stephen M. Deusner,Contributor,https://media.pitchfork.com/photos/5929bc095e6ef95969322d5b/1:1/w_160/8ff89d7b.jpg,2008-07-23 06:00:03,Folk/Country,https://www.pitchfork.com/reviews/albums/12009-green-rocky-road/,Delmore,"One of the endlessly repeated and therefore defining stories of Karen Dalton's career is that she hated recording so much that she had to be tricked into laying down the songs on her 1969 debut, It's So Hard to Tell Who's Going to Love You the Best. That may be true, but by now it's legend, portraying the contrary Okie as a true folk artist who rejected the commercial enterprise of making and selling music. It's not that cut and dry, of course: It seems she felt uncomfortable only with studios and practiced performances. In his liner notes for Koch Records' 1997 reissue of her debut, Peter Stampfel recalls that when Dalton was scheduled to sing harmonies on a Holy Modal Rounders album, she spent hours psyching herself up for the task, at one point even ripping out a bathroom sink. Recording-- or, perhaps more specifically, being recorded-- apparently didn't trouble Dalton very much. Since her rediscovery in 2006 via Light in the Attic's reissue of her second and final album, In My Own Time, two recordings from the early 1960s have surfaced: The first, the two-disc Cotton Eyed Joe, is a recording of a live performance at the Attic in Boulder, Colorado, captured by Joe Loop. Released less than a year later, Green Rocky Road is a more intimate set that Dalton recorded herself at home on the same reel-to-reel tapes. Acting as vocalist, accompanist, engineer, and producer, she overdubs guitar over her banjo tracks and even invites guitarist Richard Tucker and Loop to play on it. You can even hear the phone ringing and Dalton talking to her mother. Green Rocky Road is a much different listening experience than Cotton Eyed Joe, which she performed specifically for the small crowd around her, who listen raptly and applaud heartily. If that release is public, then Green Rocky Road is pointedly private. Here Dalton entertains no one but herself. In addition to singing traditional ballads like ""Nottingham Town"" and ""Skillet Good and Greasy"", she runs through pensive versions of ""Ribbon Bow"" and ""Katie Cruel"", which would appear later on her first and second albums respectively. They have all the informality of someone thinking aloud, which suits her signature vocals perfectly. ""Ribbon Bow"" sounds careful and simmering, with Dalton reaching down into her lower register to sound uncharacteristically foreboding-- an approach that adds a bit of malice to the lyrics. Her takes on ""Katie Cruel"" and ""In the Evening"" (which also appears on Cotton Eyed Joe) show just how malleable she considered these songs, open for any possible inflection or interpretation. Dalton's primary accompaniment, as always, is her trusty banjo, which she plays in a clawfinger style to give these songs a distinctive style that fits her free-floating vocals nicely. It rings out brightly on the cowboy song ""Whoopee Ti Yi Yo"" and the lover's lament ""Red Rockin' Chair"", and she adds dissonant notes to make ""Nottingham Town"" sound like a raga. In overdubbing, she seems to consider tempos and time signatures almost as restricting as a real studio. Opener ""Green Rocky Road"" overlays an acoustic guitar over her banjo, but the two instruments don't always mesh, lending the song an unrehearsed emotional push and pull. There's no telling what purpose she intended for these recordings, or if the mere act of setting these songs to tape was the extent of her endeavor. Possibly she might have planned to record over them, or give them away, or store them in some dusty attic box for another generation. Whatever the case, Green Rocky Road stands as a particularly personal statement, a career marker that shows where she was and what songs obsessed her at a particular moment. That we can listen to these songs nearly half a century later is certainly a benefit, but it never feels like her primary concern.","Recorded in the early 1960s, these intimate home recordings find the folk legend acting as vocalist, accompanist, engineer, and producer on this particularly personal statement.
",8.0,
Because Her Beauty Is Raw and Wild,Jonathan Richman,by: Marc Hogan,Senior Staff Writer,https://media.pitchfork.com/photos/5929bbffea9e61561daa7387/1:1/w_160/a264b93e.jpg,2008-07-23 06:00:02,Rock,https://www.pitchfork.com/reviews/albums/12001-because-her-beauty-is-raw-and-wild/,VaporVapor,"As another understated Jonathan Richman album arrives, with remarkably little publicity, this Massachusetts native's influence can hardly be overstated. 1976's recently reissued The Modern Lovers is a proto-punk classic, foreshadowing hardcore punk's Minor Threat-led ""straight edge"" movement while inspiring artists from the Sex Pistols and David Bowie through Galaxie 500 and Art Brut. Richman's wide-eyed sincerity, developed further over subsequent solo LPs, also shines out of great indie-pop from the Television Personalities to Jens Lekman. But the last thing most people would expect from the There's Something About Mary guy is an album haunted by death. Because Her Beauty Is Raw and Wild, Richman's first proper LP since 2004's minor masterpiece Not So Much to Be Loved as to Love, sounds like more of the same low-key acoustic-pop that Richman and percussionist Tommy Larkins have made into practically their own genre over the years. There's even Richman's latest ode to a painter-- the ""Egyptian Reggae""-flavored ""No One Was Like Vermeer""-- plus two more foreign-language songs (one French, one Spanish, both so-so). It's just that, for Richman, our human imperfection only heightens our human emotions: whether natural beauty on the title track, or natural odors on ""The Lovers Are Here and They're Full of Sweat"". Richman and Larkins play their live shows without A/C, and the production here is just as warm and intimate, romanticizing the messy, ever-passing moment rather than striving for a digital perfection Richman probably considers drab and sterile. Like unruly hair or B.O., death is a fact of nature that polite society would prefer to cover up or ignore. It's also what gives love such precious urgency, Richman hints on the vibrant ""Time Has Been Going By So Fast"", which glories in impermanence as a feature and not a bug. Still, for all the poignancy of Richman's theme, he can come across as preachy on ""When We Refuse to Suffer"", which condemns anti-depressants as a way of avoiding the feelings that Mother Nature intended. Pain is natural, yeah, but it's asking a bit much for everyone to deal with it Richman's way, just as no recording, not even this one, is completely free of artifice. Does Richman wear sunscreen, or is that bad, too? It would be harder to sympathize with Richman if he weren't in such palpable agony. Reprising the Modern Lovers' ""Old World"", the singer bids a regretful farewell to a past he originally embraced. Finally, a devastating cover of Leonard Cohen's mortality-themed ""Here It Is"" is followed by the album's capstone, ""As My Mother Lay Lying"", which brings to the nursing home the quiet dignity those who pass through it deserve, and suggests a personal tragedy at the heart of a grief-stricken album. Richman's refusal to refuse to suffer makes for an occasionally uneven listen (""Our Party Will Be on the Beach Tonight"" is no party), but there's enough sad beauty in Raw and Wild to offer Richman devotees-- or anyone mourning a loved one-- some measure of solace. Even if it hurts a little.","Another understated album from the influential singer-songwriter arrives with little fanfare. In addition to another ode to a painter and a couple of foreign-language songs, Richman, uncharacteristically, brings his unique perspective to bear on a handful of songs about death.
",6.7,
My Haunted / Your Anchor,Lackthereof,by: Joe Tangari,Contributor,https://media.pitchfork.com/photos/5929b653c0084474cd0c258a/1:1/w_160/9643a6cb.gif,2008-07-23 06:00:01,Rock,https://www.pitchfork.com/reviews/albums/11553-my-haunted-your-anchor/,Film Guerrero,"Lackthereof is the solo musical identity of Menomena's Danny Seim, but don't call it a side project: Seim had been producing self-released albums under the alias for years by the time he linked with Brent Knopf and Justin Harris to form Menomena. Seim put out six of them from 1998 to 2002, and in 2004, he released one through a label with the Christian the Christian LP. That was the same year he first performed live under the Lackthereof name as well, recruiting friends such as Viva Voce's Kevin and Anita Robinson to back him up. Seim has recently returned to his old, prolific ways, and his two most recent albums find him taking one last stand in the low minors before jumping to Triple A on Barsuk.* My Haunted*, a vinyl/digital release, is the second Lackthereof album to drop via FilmGuerrero, and true to the form of its predecessors, it has a home-spun, casual air to it. If you're used to Menomena's maximalist, heavily layered and sometimes abstract approach, don't expect this to sound much like it. To begin, the compositional approach is more conventional, with little-to-no involvement of crazy computer programs. The basic palette is acoustic guitar, vocals, and reverb, with Seim frequently layering his voice or slipping in a bit of percussion. ""The Columbia"", a haunting and repetitive crawl through a cavernous reverb chamber, is the album's most impressive track. A stuttering acoustic guitar alternates with Seim's layered pleas to ""float with me to the mouth of the Columbia."" Side one closer ""Both of Us"" is the other standout, with ghostly wordless harmonies and an odd, stream-of-consciousness structure. Other songs are more reserved-- opener ""It's Over"" sounds like a demo, with a vocal line that mirrors the guitar part, while there are several offerings that are little more than good-sounding sketches. The keyboard-heavy ""Century"" especially feels like it needs to blow up into a massive prog conflagration.* Your Anchor*, Seim's Barsuk debut, is much more widely available, and it rises nicely to the challenge of being Lackthereof's first high-profile release. He generates every sound on the album, from vocals to drums, and it feels like a happy medium between My Haunted and Menomena. The songs are fully fleshed, and a few are genuinely great. ""Choir Practice"" is especially awesome, with a hard drum beat and catchy vocal melody. Considering that the weakest part of an album by a multi-instrumentalist is very often the drums, Seim is dealing from a position of strength, and every song makes good on his abilities behind the kit. And he's no novice on the other instruments, either. ""Doomed Elephants"" has a great, hooky bassline; he plays surprisingly good slide guitar on ""Fire Trial""; and ""Ask Permission"" features a great instrumental break with jangling guitars rising over a smooth bed of Rhodes piano. The latter is one of the album's finest tracks, a confirmation that Menomena's ear for texture runs deep in all three members. Seim's vocals have a Stephin Merritt-like croak to them here-- on his closing cover of the National's ""Fake Empire"", he sounds like he's struggling to avoid keeling over from exhaustion. He self-harmonizes fairly well on several tracks, too, and indeed opens the album backing his own lead vocal with a hushed falsetto. If a Menomena album feels like Seim coming over for a visit with his fellow band members, My Haunted is a little more like a postcard sent from far away-- a few thoughts strung together to form a nice but not quite satisfying reminder of a friendship. To strain the simile further, Your Anchor is like a nice, long phone call-- appeasing, but still not the same as seeing someone. Overall, the different release strategies for the two records seem appropriate: The interesting but flawed limited release is reserved for the superfan, while most indie rock fans will likely enjoy the bigger and more widely distributed record. Both, however, further demonstrate Seim's wealth of interesting ideas, showcasing two distinct sides of his creative alter-ego.",,6.0,
Life Processes,"¡Forward, Russia!",by: Mike Orme,,https://media.pitchfork.com/photos/5929bc06c0084474cd0c29c0/1:1/w_160/066f4f77.jpg,2008-07-22 05:00:04,Electronic,https://www.pitchfork.com/reviews/albums/12007-life-processes/,Mute,"The catch-all ""post-punk"" is a term wielded like a sword when a scalpel is required. That's partly because post-punk carts around the mismatched baggage of history and revisionism. Take, for example, Life Processes by ¡Forward, Russia!; a curious mélange of studied dance-punk and flailing hardcore, Life strides a couple of well-trodden paths. Whereas FR's first record, 2006's Give Me a Wall, utilized Bloc Party's hi-hat-and-guitar anthems, the enigmatic Processes attempts to lose you in the stereo horizon, adding ham-fisted stabs of distortion pedals and synthesizer swaths. Like Mystery Jets, ¡Forward, Russia! seem fascinated by anxious rock that twists elaborate melodies around their vocalist's fey falsettos. Only where Mystery Jets singer Blaine Harrison wryly borrows from both Bowie and XTC, ¡Forward, Russia!'s Tom Woodhead plumbs a sort of emotional arrogance usually reserved for American hardcore, while evangelizing the artificially heightened emotions of Peter Gabriel. Every part of Life Processes seems meticulously calculated with such antecedents in mind, laid out in every detail and implemented exactly to referential specification. ""We Are Grey Matter"", which transitions from the opener ""Welcome to the Moment (The Rest of Your Life)"", moves rotely up and down in volume and vocal intensity between verse and chorus, with Woodhead's dynamic shifts and shouts all seeming like inevitabilities. Sometimes it works to their advantage. Single ""Breaking Standing"" could have been a Synchronicity-era hit, riding dub-like guitar pulses and sixteenth-note hi-hats and staying out of the trouble that excess distortion could bring them; it's just about the tidiest cut they've ever performed. But then ""Gravity and Heat"" follows and provides a fitting study in opposites: indulgent math-rock bouncing between taut power chords and a high-pitched guitar dissonance. Besides that Woodhead falsetto, it's really nothing you haven't heard before. It's the sort of self-centered angst that engages, and almost wins, a war of attrition on your sense of cultural regurgitation. But if you're careful, you can dodge the emotional bullets and get close enough to see that, behind the lines, they're only firing other peoples' guns. Still, there are tangible progressions from Give Me a Wall to Life Processes. First, the group's maddening tendency to title its compositions chronologically by number (e.g., ""Sixteen"" is the sixteenth song the band wrote). While I'm sure the band thought it might be funny to make listeners struggle to discuss ""Nine"" (which is track 4 on Give Me a Wall) or ""Seventeen"" (track 6), they couldn't realistically carry on with the convention. But more than that, they seem keyed into a greater cause than that of faux politico in the dance club. with tracks like ""Breaking Standing"", ¡Forward, Russia! have gotten the hang of the fuzzy alchemy of composition.","Leeds, UK band's second record, released on Mute, shows them doing the same paint-by-numbers Bloc Party jams they produced on their first record.
",6.4,
A Long Way Around to a Shortcut,Sic Alps,by: Jason Crock,,https://media.pitchfork.com/photos/5929bbdfeb335119a49ecb32/1:1/w_160/27c2716f.jpeg,2008-07-22 05:00:03,Rock,https://www.pitchfork.com/reviews/albums/11976-a-long-way-around-to-a-shortcut/,Animal Disguise,"Occasionally psychedelic and unabashedly noisy garage-rockers Sic Alps have grown a lot over just a smattering of singles (and one proper LP, 2006's Pleasures and Treasures), so the reverse-chronological order of this compilation puts their best foot forward. That said, it'll rob listeners of some insight into the band if they don't give the whole thing their attention instead of just jamming the ""Back"" button over and over after ""Strawberry Guillotine"" (though you could hardly be blamed). Like many of their peers, Sic Alps tend to press great material on vinyl and cassette singles in haltingly small runs, but thankfully, most of it is included here. The band's most recent material is their best and strangest. ""Description of the Harbor"" comes from an extended 12"" of the same name originally released last year, and it's a liberal seven-minute interpretation of a Strapping Fieldhands song that alternates between depth-charge distortion, atonal no-wave jamming, and plaintive piano-led vocals that could be coming from a basement church P.A. Yet the entire B-side of that single was filled with nothing but direct, concise, even innocent pop: ""Love Is Strange"" finds austerity in the hangover of ""Description"" via acoustic guitars and woodblocks, ""A Story Over There"", ""The News Today"", ""Message From the Law"", and ""Hey! Sofia"" are simply too immediate to be dismissed as Nuggets-minded retro retreads. ""Strawberry Guillotine"", the title track of another single from last year, is a slow and hiss-soaked proto-metal strut that manages to be damnably infectious.. To further reinforce their unpredictability, ""RATROQ"" from the same release sounds like running the volume knob back and forth with woodwind accompaniment, while ""The Drake"" is another perfectly catchy, impossibly heavy ditty where the accidental harmonics make it sound like the notes are punching black holes out of the space around them. The 2006 Teenage Alps cassette marked something new for the band-- still undoubtedly minimal and noisy, but inching towards being more melodic, or, alternatively, having more of a purpose when being decidedly un-melodic. ""When You Tell It"" is a perfect example, taking otherwise straightforward psychedelic pop and adding a head-swallowing feedback screech where a solo should go, while ""Texas (Is the Right State)"" puts the rubbery bass of vintage stoner-rock more firmly in their grasp. ""C'mon Pup"" meshes a perky, almost Disney-appropriate piano plink over indiscernible waves of distortion. ""Making Plans"" from 2006 is more typical languid bottom-heavy riffery, though even on this early single, the casual approach to recording and the distant, disconnected way the drums were recorded put Sic Alps some distance from your average long-haired slow-headbang rock. They've tried many things over these releases, and they've always come out a little left of the mark in the best way, making for something distinctive. Long Way Around walks backwards through their firmly weird current aesthetic to the still-weird two-man psychedelic sludge-rock where they began. It's an indispensable collection for those without the time or cash to track down these out-of-print singles, and for now, the best starting point for the band.","Gathering vinyl and cassette singles originally issued in tiny runs, Long Way Around shows how much this lo-fi garage-rock outfit has grown in a short period of time.
",7.9,
Fortress Round My Heart,Ida Maria,by: Stephen M. Deusner,Contributor,https://media.pitchfork.com/photos/5929bbf45e6ef95969322d30/1:1/w_160/592c0c9a.jpg,2008-07-22 05:00:02,Rock,https://www.pitchfork.com/reviews/albums/11992-fortress-round-my-heart/,Waterfall,"Ida Maria Sivertsen has a powerful voice that conjures so many classic-rock associations it's a wonder she doesn't get lost amid all the references. On her debut album, Fortress Round My Heart, she howls like Janis Joplin, with a bit of soulful vibrato that almost sounds like grandstanding. She rasps like Courtney Love, similarly steeped in cigarettes and alcohol but without the manic aversion to actually making music. Ida Maria effervesces like Katrina Leskanich-- of Katrina & the Waves fame-- which brings to mind one-hit-wonder pronouncements (but what a hit). Chrissie Hynde is another touchstone, not only for her commanding presence but for her assumed sexual authority as well. And then there's that curious Sting reference in the album title, but let's give her the benefit of the doubt and call it a coincidence. Besides, Ida Maria is singing, not actively imitating anyone. Her performance on Fortress conveys a distinct personality that draws on a range of styles and influences but remains completely her own, whether she's confessing to being falling-down drunk or expressing her reservations about god. She conveys existential anger, sloshed self-doubt, religious whimsy, romantic compulsion, and determined vulnerability all with equal persuasiveness, and by all evidence, she has a blast from start to finish. Backed by a road-hardened band, her songs burst with pop-punk fury and fun, none more violently than the brain-smasher opener ""Oh My God"". The song begins with tense guitars and Ida Maria's throaty voice defying you to ""find a cure for my life,"" then turns strident on the chorus as if trying to be heard by the deity himself. She stutters and taunts through ""Morning Light"", stumbles triumphantly through ""Queen of the World"", and masks darker thoughts and boozier desperation with the fizzy bubblegum exuberance of ""Louie"" and ""I Like You So Much Better When You're Naked"". ""Keep Me Warm"" is the only ballad, but she navigates with just as much confidence, making the song all the more heartbreaking by addressing a cup of coffee and a pack of cigarettes Ida Maria has been kicking around her native Scandinavia and most of Europe for a few short years now, sharpening her singing and songwriting through almost constant touring. If there's a complaint to be made about Fortress, it's that the album sounds too sharp and too focused, polishing away some of her rougher edges. ""Drive Away My Heart"" never really revs its engine, but any song that follows ""Oh My God"" could be accused of traveling at too safe a speed. Later, she muses about god on ""Stella"" and ""See Me Through"", which never sound as incisive or as insightful as her own drinking and dating habits. The latter track ends Fortress on the only true bum note, rising and falling dramatically but never really getting across Ida Maria's sense of doubt. Still, overreaching is a forgivable flaw on an otherwise accomplished debut, which usually sounds so confident in its creator's insecurities.","Norwegian singer who broke through late last year with the stirring single ""Oh My God"" releases her debut full-length, in which she conveys existential anger, sloshed self-doubt, religious whimsy, romantic compulsion, and determined vulnerability all with equal persuasiveness.
",7.5,
22 Dreams,Paul Weller,by: Joe Tangari,Contributor,https://media.pitchfork.com/photos/5929bbfcea9e61561daa737b/1:1/w_160/dd1724e1.jpg,2008-07-22 05:00:01,Rock,https://www.pitchfork.com/reviews/albums/11998-22-dreams/,Yep Roc,"More than 30 years into his career, Paul Weller has made his most varied and surprising album. He's made plenty of good and even great records in the past, with the Jam, the Style Council and on his own, but 22 Dreams is really something unique in his catalog, and it's refreshing to hear him changing the script like this so late in the game. The album's 21 tracks (dream #22 is a story by Simon Armitage, included in the CD booklet) simultaneously introduce a host of new ideas to Weller's music and play like a microcosm of his career and musical life, ranging from crunching rock to piano ballads and truly dream-like psychedelia. It may be his finest solo effort, and easily hangs with its closest contenders, 1997's Heavy Soul and 1993's Wild Wood. There's a real sense on 22 Dreams that Weller had no expectations for it going in, that he simply let it flow, in somewhat the same way a dream can take you from a sandy beach to your parents' kitchen in the space of a heartbeat. And so its generally brief songs detour in ways none of his other albums do, wandering where his omnivorous muse leads them. Dig the way the sensitive soul-man piano ballad ""Invisible"" segues directly to the psychedelic instrumental ""Song for Alice"", a strange, harp-soaked tribute to the late Alice Coltrane that puts Weller's sometime suppressed love of jazz on full display. Those jazz elements come into play again on one of the album's best tracks, ""One Bright Star"", which rides a subdued tango rhythm and billows with clouds of piano. Spanish guitar, wordless and ghostly female vocals, and haunting orchestration complete the mood and provide a spooky playground for Weller's voice, which only gets more soulful with age. Part of that soulfulness has always been there-- he's naturally gifted with husky, powerful pipes-- but he's also learned how to phrase his melodies in such a way that it accentuates the soul element of his work. ""Have You Made Up Your Mind"", for instance, is a pretty basic British trad-rock song, but his vocal pulls it to another level. Weller's wide circle of friends, built largely during the height of the Britpop movement he played godfather to, puts plenty of collaborators at his disposal, including Blur's Graham Coxon (playing drums, no less), Robert Wyatt, Oasis' Noel Gallagher, and Gem Archer, and Ocean Colour Scene's Steve Cradock, a long-time collaborator who's on as co-producer as well. Even god gets a guest credit for the thunder and rain on the pastoral closing instrumental. God even speaks through guest narrator Aziz Ibrahim on ""God"", one of the album's more indulgent digressions, wherein he rebukes a prayerful man, excoriating him for ""only calling when you need me"" and telling him to ""look at you, not at me."" Even when they do fall a little flat, such digressions help to make 22 Dreams such an interesting, replayable album. This stands pretty much alone in Weller's catalog in terms of sheer eclecticism and unpredictable, dream-like flow. I give Weller a lot of credit wanting to change the usual script at this point in his career-- it's amazing to think that there were rumors he was done recording several years ago when he still had this much creativity in him. It's a good thing the rumors weren't true, because 22 Dreams is one of his most enjoyable solo albums.","Simultaneously introducing a host of new ideas and playing like a microcosm of his career and musical life, Weller's latest-- among his finest solo records-- ranges from crunching rock to piano ballads and truly dream-like psychedelia. Noel Gallagher, Robert Wyatt, and Graham Coxon guest.
",7.9,
Partie Traumatic,Black Kids,by: Scott Plagenhoef,Contributor,https://media.pitchfork.com/photos/5929bb85c0084474cd0c289a/1:1/w_160/42a47060.jpg,2008-07-22 05:00:00,Electronic,https://www.pitchfork.com/reviews/albums/11617-partie-traumatic/,ColumbiaAlmost Gold,,"After a well-received EP, Jacksonville's Black Kids release a Bernard Butler-produced debut that surprisingly hit the top 5 in the UK.
",3.3,
